food_name,region,type,calories,protein_g,carbs_g,fat_g,fiber_g,category,ingredients,prep_time_mins,suitable_for_athletes,risk_level
Risotto ai Funghi,Italian,veg,380,10,58,12.0,2,dinner,"arborio rice,mushrooms,parmesan",40,True,low
Bruschetta,Italian,veg,180,6,26,6.0,2,snack,"bread,tomatoes,garlic,basil",10,True,low
Minestrone Soup,Italian,veg,160,7,26,4.0,6,lunch,"vegetables,beans,pasta,tomatoes",45,True,low
Panzanella,Italian,veg,220,6,32,8.0,4,lunch,"bread,tomatoes,cucumber,onion",15,True,low
Eggplant Parmigiana,Italian,veg,340,16,28,18.0,5,dinner,"eggplant,tomato,mozzarella,parmesan",50,False,low
Pasta Primavera,Italian,veg,320,12,52,8.0,4,lunch,"pasta,mixed vegetables,olive oil",25,True,low
Focaccia Bread,Italian,veg,260,7,42,8.0,2,snack,"flour,olive oil,rosemary,salt",90,False,low
Gnocchi al Pesto,Italian,veg,400,12,56,14.0,3,dinner,"potato gnocchi,basil,pine nuts,parmesan",30,False,low
Italian Wedding Soup (Veg),Italian,veg,180,8,24,6.0,4,lunch,"vegetables,pasta,beans,herbs",35,True,low
Spaghetti Bolognese,Italian,non-veg,450,26,56,14.0,3,lunch,"pasta,ground beef,tomatoes,herbs",45,True,moderate
Chicken Alfredo,Italian,non-veg,520,32,48,22.0,2,dinner,"pasta,chicken,cream,parmesan",30,False,moderate
Pepperoni Pizza,Italian,non-veg,320,14,36,12.0,2,lunch,"dough,tomato,mozzarella,pepperoni",15,False,low
Osso Buco,Italian,non-veg,480,38,12,32.0,2,dinner,"veal shanks,tomatoes,wine,herbs",120,False,high
Chicken Parmigiana,Italian,non-veg,460,36,32,22.0,3,dinner,"chicken,tomato,mozzarella,parmesan",40,False,moderate
Seafood Risotto,Italian,non-veg,420,28,54,12.0,2,dinner,"arborio rice,shrimp,mussels,fish",45,True,moderate
Carbonara Original,Italian,non-veg,480,24,52,20.0,2,dinner,"pasta,guanciale,eggs,pecorino",25,False,moderate
Saltimbocca,Italian,non-veg,380,32,4,26.0,1,dinner,"veal,prosciutto,sage,butter",25,False,moderate
Cacciatore Chicken,Italian,non-veg,360,34,18,18.0,3,dinner,"chicken,tomatoes,peppers,olives",50,True,low
Meat Lasagna,Italian,non-veg,480,28,42,22.0,3,dinner,"pasta,ground beef,ricotta,mozzarella",75,False,moderate
Prosciutto Pizza,Italian,non-veg,340,18,34,14.0,2,lunch,"dough,tomato,mozzarella,prosciutto",15,False,low
Spaghetti alle Vongole,Italian,non-veg,380,24,54,8.0,2,dinner,"pasta,clams,garlic,white wine",25,True,low
Tuscan Steak,Italian,non-veg,520,48,2,32.0,0,dinner,"beef steak,olive oil,rosemary",20,True,moderate
Arancini,Italian,non-veg,320,14,38,12.0,2,snack,"rice,meat,mozzarella,breadcrumbs",45,False,low
Italian Meatballs,Italian,non-veg,340,26,12,22.0,2,dinner,"ground beef,breadcrumbs,egg,herbs",35,True,low
Vegetable Spring Rolls,Chinese,veg,180,5,24,8.0,3,snack,"vegetables,wrapper,soy sauce",30,True,low
Mapo Tofu (Veg),Chinese,veg,260,16,18,14.0,3,lunch,"tofu,chili bean paste,garlic",25,True,low
Vegetable Fried Rice,Chinese,veg,280,8,48,6.0,3,lunch,"rice,mixed vegetables,soy sauce",20,True,low
Buddha Bowl,Chinese,veg,320,12,52,8.0,8,lunch,"rice,vegetables,tofu,sesame",25,True,low
Hot and Sour Soup (Veg),Chinese,veg,120,6,16,4.0,2,lunch,"vegetables,tofu,vinegar,pepper",30,True,low
Chow Mein (Veg),Chinese,veg,320,10,52,8.0,4,lunch,"noodles,vegetables,soy sauce",25,True,low
Ma La Noodles (Veg),Chinese,veg,340,12,56,8.0,3,lunch,"noodles,sichuan pepper,vegetables",20,True,low
Vegetable Dumplings,Chinese,veg,220,8,32,6.0,3,snack,"vegetables,wrapper,ginger",40,True,low
Kung Pao Tofu,Chinese,veg,300,18,24,14.0,4,dinner,"tofu,peanuts,chili,soy sauce",25,True,low
Bok Choy Stir Fry,Chinese,veg,140,6,12,8.0,4,lunch,"bok choy,garlic,ginger,soy sauce",15,True,low
Egg Fried Rice,Chinese,veg,320,12,50,8.0,2,lunch,"rice,eggs,vegetables,soy sauce",20,True,low
Sesame Noodles,Chinese,veg,360,10,54,12.0,3,lunch,"noodles,sesame paste,vegetables",20,True,low
Szechuan Eggplant,Chinese,veg,220,6,28,10.0,5,lunch,"eggplant,garlic,chili,soy sauce",25,True,low
Wonton Soup (Veg),Chinese,veg,200,8,28,6.0,2,lunch,"vegetables,wrapper,broth",35,True,low
Chinese Mixed Vegetables,Chinese,veg,160,6,22,6.0,5,lunch,"mixed vegetables,soy sauce,ginger",20,True,low
Sweet and Sour Chicken,Chinese,non-veg,420,28,48,12.0,2,lunch,"chicken,pineapple,peppers,sauce",30,False,low
Kung Pao Chicken,Chinese,non-veg,380,32,24,18.0,3,dinner,"chicken,peanuts,chili,soy sauce",25,True,low
Peking Duck,Chinese,non-veg,520,32,12,38.0,1,dinner,"duck,pancakes,cucumber,hoisin",180,False,high
General Tso Chicken,Chinese,non-veg,480,26,52,18.0,2,dinner,"chicken,chili,garlic,soy sauce",30,False,moderate
Beef with Broccoli,Chinese,non-veg,320,28,18,16.0,4,lunch,"beef,broccoli,oyster sauce,garlic",20,True,low
Mongolian Beef,Chinese,non-veg,420,32,28,20.0,2,dinner,"beef,scallions,soy sauce,ginger",25,True,moderate
Orange Chicken,Chinese,non-veg,460,24,54,16.0,2,dinner,"chicken,orange,chili,soy sauce",30,False,moderate
Dim Sum Pork,Chinese,non-veg,280,16,24,14.0,2,snack,"pork,wrapper,soy sauce,ginger",45,True,low
Sichuan Fish,Chinese,non-veg,320,32,12,16.0,2,dinner,"fish,sichuan pepper,chili,garlic",30,True,low
Char Siu Pork,Chinese,non-veg,380,28,18,22.0,1,dinner,"pork,honey,soy sauce,five spice",120,False,moderate
Shrimp Fried Rice,Chinese,non-veg,360,22,48,8.0,2,lunch,"rice,shrimp,vegetables,soy sauce",20,True,low
Chicken Chow Mein,Chinese,non-veg,400,26,52,10.0,3,lunch,"noodles,chicken,vegetables,soy sauce",25,True,moderate
Mapo Tofu with Pork,Chinese,non-veg,340,24,18,20.0,3,lunch,"tofu,pork,chili bean paste",25,True,low
Salt and Pepper Squid,Chinese,non-veg,320,26,22,14.0,2,snack,"squid,peppers,salt,garlic",25,True,low
Crispy Duck Noodles,Chinese,non-veg,480,28,54,18.0,3,dinner,"duck,noodles,vegetables,hoisin",40,False,moderate
Bean Burrito,Mexican,veg,380,14,58,8.0,12,lunch,"beans,tortilla,cheese,salsa",15,True,low
Cheese Quesadilla,Mexican,veg,420,18,42,18.0,3,lunch,"tortilla,cheese,peppers,onions",15,False,low
Vegetable Fajitas,Mexican,veg,280,10,38,10.0,6,dinner,"peppers,onions,tortillas,sour cream",25,True,low
Black Bean Tacos,Mexican,veg,320,14,48,8.0,10,lunch,"black beans,tortilla,lettuce,salsa",15,True,low
Guacamole with Chips,Mexican,veg,280,4,32,16.0,8,snack,"avocado,chips,lime,cilantro",10,True,low
Mexican Rice,Mexican,veg,240,6,46,4.0,3,lunch,"rice,tomatoes,vegetables,spices",25,True,low
Refried Beans,Mexican,veg,220,12,34,4.0,10,lunch,"pinto beans,onions,garlic",35,True,low
Vegetarian Enchiladas,Mexican,veg,360,16,44,12.0,8,dinner,"tortilla,beans,cheese,enchilada sauce",40,True,low
Elote (Mexican Corn),Mexican,veg,200,6,28,8.0,4,snack,"corn,mayo,cheese,chili powder",15,True,low
Pico de Gallo,Mexican,veg,60,2,12,1.0,3,snack,"tomatoes,onions,cilantro,lime",10,True,low
Vegetarian Nachos,Mexican,veg,440,14,52,18.0,6,snack,"chips,beans,cheese,jalapeños",20,False,low
Chilaquiles (Veg),Mexican,veg,340,12,42,14.0,4,breakfast,"tortillas,salsa,cheese,beans",25,False,low
Chicken Burrito,Mexican,non-veg,520,32,58,16.0,6,lunch,"chicken,beans,rice,tortilla,cheese",20,False,moderate
Beef Tacos,Mexican,non-veg,380,24,32,18.0,4,lunch,"ground beef,tortilla,lettuce,cheese",25,True,low
Chicken Fajitas,Mexican,non-veg,420,38,32,16.0,4,dinner,"chicken,peppers,onions,tortillas",30,True,moderate
Carnitas,Mexican,non-veg,460,32,8,34.0,2,dinner,"pork,orange,spices",180,False,high
Fish Tacos,Mexican,non-veg,340,28,32,12.0,3,lunch,"fish,tortilla,cabbage,lime",25,True,low
Chicken Enchiladas,Mexican,non-veg,440,32,42,16.0,4,dinner,"chicken,tortilla,cheese,enchilada sauce",40,True,moderate
Carne Asada,Mexican,non-veg,480,42,6,30.0,1,dinner,"beef,lime,cilantro,spices",240,True,moderate
Pollo Asado,Mexican,non-veg,380,40,8,18.0,1,dinner,"chicken,citrus,achiote,spices",120,True,low
Shrimp Quesadilla,Mexican,non-veg,460,28,38,20.0,3,lunch,"shrimp,cheese,tortilla,peppers",20,False,moderate
Chicken Tostadas,Mexican,non-veg,380,26,36,14.0,4,lunch,"chicken,crispy tortilla,beans,lettuce",20,True,low
Barbacoa Beef,Mexican,non-veg,420,36,8,28.0,2,dinner,"beef,chipotle,lime,spices",240,False,moderate
Chorizo Tacos,Mexican,non-veg,400,20,32,22.0,3,lunch,"chorizo,tortilla,onions,cilantro",20,False,moderate
Classic Hamburger,American,non-veg,540,28,42,26.0,2,lunch,"beef patty,bun,lettuce,tomato",10,False,moderate
Cheeseburger,American,non-veg,600,32,44,32.0,2,lunch,"beef patty,cheese,bun,lettuce",10,False,high
Double Cheeseburger,American,non-veg,780,48,46,44.0,2,lunch,"two beef patties,cheese,bun",12,False,high
Bacon Cheeseburger,American,non-veg,720,38,44,40.0,2,lunch,"beef,bacon,cheese,bun",12,False,high
Veggie Burger,American,veg,380,16,48,12.0,6,lunch,"veggie patty,bun,lettuce,tomato",10,True,low
Chicken Burger,American,non-veg,520,32,46,22.0,2,lunch,"chicken patty,bun,mayo,lettuce",10,False,moderate
Fish Burger,American,non-veg,480,24,52,18.0,2,lunch,"fish fillet,bun,tartar sauce",10,False,moderate
BLT Sandwich,American,non-veg,420,18,38,22.0,3,lunch,"bacon,lettuce,tomato,bread,mayo",10,False,moderate
Club Sandwich,American,non-veg,540,32,44,24.0,3,lunch,"chicken,bacon,lettuce,tomato,bread",15,False,moderate
Grilled Cheese,American,veg,420,16,42,20.0,2,lunch,"bread,cheese,butter",10,False,low
Fried Chicken (2 pcs),American,non-veg,480,32,24,28.0,1,lunch,"chicken,flour,spices",20,False,moderate
Chicken Nuggets (6 pcs),American,non-veg,320,18,22,18.0,1,snack,"chicken,breadcrumbs",10,False,low
Chicken Wings (6 pcs),American,non-veg,540,36,12,38.0,0,snack,"chicken wings,hot sauce",25,False,high
Chicken Tenders,American,non-veg,420,28,32,18.0,2,lunch,"chicken breast,breadcrumbs",15,True,moderate
Buffalo Wings,American,non-veg,580,38,8,42.0,1,snack,"chicken wings,buffalo sauce,butter",25,False,high
BBQ Chicken,American,non-veg,440,36,28,18.0,2,dinner,"chicken,bbq sauce,spices",45,True,moderate
Cheese Pizza (2 slices),American,veg,560,24,68,18.0,3,lunch,"dough,cheese,tomato sauce",15,False,moderate
Pepperoni Pizza (2 slices),American,non-veg,640,28,68,24.0,3,lunch,"dough,cheese,pepperoni",15,False,high
BBQ Chicken Pizza (2 slices),American,non-veg,620,32,72,20.0,3,lunch,"chicken,bbq sauce,cheese",15,False,high
Meat Lovers Pizza (2 slices),American,non-veg,740,36,68,32.0,3,lunch,"beef,bacon,sausage,cheese",15,False,high
French Fries (Medium),American,veg,380,5,48,18.0,4,snack,"potatoes,oil,salt",10,False,low
Onion Rings,American,veg,420,6,52,20.0,3,snack,"onions,batter,oil",10,False,low
Mozzarella Sticks (6 pcs),American,veg,480,22,38,24.0,2,snack,"mozzarella,breadcrumbs",10,False,moderate
Mac and Cheese,American,veg,420,18,46,18.0,2,lunch,"pasta,cheese sauce",15,False,low
Coleslaw,American,veg,180,2,16,12.0,3,snack,"cabbage,mayo,vinegar",10,True,low
Potato Wedges,American,veg,320,6,42,14.0,4,snack,"potatoes,spices,oil",15,False,low
Corn Dog,American,non-veg,380,14,42,16.0,2,snack,"hot dog,cornmeal batter",10,False,low
Nachos with Cheese,American,veg,520,12,56,26.0,4,snack,"chips,cheese sauce,jalapeños",10,False,moderate
Pancakes (3 pcs),American,veg,420,10,72,8.0,2,breakfast,"flour,milk,eggs,syrup",20,False,low
Waffles,American,veg,380,8,62,10.0,2,breakfast,"flour,eggs,milk,syrup",15,False,low
Bacon and Eggs,American,non-veg,380,24,4,30.0,0,breakfast,"bacon,eggs",10,True,low
Hash Browns,American,veg,280,4,32,14.0,3,breakfast,"potatoes,oil",10,False,low
Breakfast Burrito,American,non-veg,540,26,48,26.0,3,breakfast,"eggs,sausage,cheese,tortilla",15,False,moderate
Egg McMuffin,American,non-veg,300,18,30,12.0,2,breakfast,"egg,cheese,ham,muffin",10,False,low
Subway Veggie Sub (6 inch),American,veg,280,10,48,4.0,6,lunch,"bread,vegetables,cheese",10,True,low
Subway Chicken Sub (6 inch),American,non-veg,360,24,46,6.0,4,lunch,"bread,chicken,vegetables",10,True,low
Chicken Wrap,American,non-veg,420,28,38,16.0,3,lunch,"tortilla,chicken,vegetables,sauce",10,True,moderate
Falafel Wrap,American,veg,380,14,52,12.0,8,lunch,"tortilla,falafel,hummus,vegetables",10,True,low
Caesar Salad,American,veg,280,8,18,18.0,4,lunch,"lettuce,parmesan,croutons,dressing",10,True,low
Chicken Caesar Salad,American,non-veg,420,32,18,24.0,4,lunch,"lettuce,chicken,parmesan,dressing",15,True,moderate
Vegetable Sushi Roll,Japanese,veg,200,6,38,2.0,3,lunch,"rice,nori,cucumber,avocado",20,True,low
Miso Soup,Japanese,veg,80,6,10,2.0,2,lunch,"miso paste,tofu,seaweed,scallions",10,True,low
Edamame,Japanese,veg,120,12,10,5.0,8,snack,"soybeans,salt",10,True,low
Vegetable Tempura,Japanese,veg,280,6,34,12.0,4,snack,"vegetables,tempura batter",15,True,low
Tofu Teriyaki,Japanese,veg,240,18,22,8.0,3,lunch,"tofu,teriyaki sauce,vegetables",20,True,low
Vegetable Ramen,Japanese,veg,380,12,58,10.0,4,lunch,"noodles,vegetables,broth",25,True,low
Inari Sushi,Japanese,veg,180,8,32,3.0,2,lunch,"rice,tofu pockets,sesame",20,True,low
Seaweed Salad,Japanese,veg,60,2,10,1.0,4,snack,"seaweed,sesame,vinegar",10,True,low
Agedashi Tofu,Japanese,veg,220,14,18,10.0,2,snack,"tofu,dashi,ginger,scallions",15,True,low
Vegetable Gyoza,Japanese,veg,240,8,32,8.0,3,snack,"vegetables,wrapper,soy sauce",30,True,low
Salmon Sushi (6 pcs),Japanese,non-veg,280,24,36,6.0,2,lunch,"rice,salmon,nori",15,True,very_low
Tuna Sashimi (6 pcs),Japanese,non-veg,180,32,0,4.0,0,lunch,tuna,10,True,very_low
Chicken Teriyaki,Japanese,non-veg,420,36,38,12.0,2,dinner,"chicken,teriyaki sauce,rice",25,True,moderate
Tonkotsu Ramen,Japanese,non-veg,520,32,58,18.0,3,lunch,"noodles,pork,egg,broth",30,False,moderate
Chicken Katsu,Japanese,non-veg,480,32,42,18.0,2,dinner,"chicken,breadcrumbs,tonkatsu sauce",25,False,moderate
Tempura Shrimp,Japanese,non-veg,320,22,28,12.0,2,snack,"shrimp,tempura batter",15,True,low
Beef Teriyaki,Japanese,non-veg,460,38,32,20.0,2,dinner,"beef,teriyaki sauce,vegetables",25,True,moderate
Unagi Don,Japanese,non-veg,520,28,68,14.0,2,lunch,"eel,rice,teriyaki sauce",20,False,moderate
Yakitori (3 skewers),Japanese,non-veg,280,28,8,12.0,1,snack,"chicken,scallions,teriyaki",20,True,very_low
Gyoza Pork,Japanese,non-veg,320,16,32,12.0,2,snack,"pork,vegetables,wrapper",30,True,low
Salmon Teriyaki,Japanese,non-veg,440,38,32,16.0,2,dinner,"salmon,teriyaki sauce,rice",25,True,moderate
Chicken Ramen,Japanese,non-veg,460,28,56,14.0,3,lunch,"noodles,chicken,egg,broth",25,False,moderate
Sushi Platter Mixed,Japanese,non-veg,480,32,62,10.0,3,dinner,"rice,fish,nori,wasabi",30,True,moderate
Pork Katsu,Japanese,non-veg,540,34,44,22.0,2,dinner,"pork,breadcrumbs,tonkatsu sauce",25,False,moderate
Chirashi Bowl,Japanese,non-veg,520,36,58,12.0,3,lunch,"rice,assorted fish,vegetables",20,True,moderate
Pad Thai (Veg),Thai,veg,380,12,58,10.0,4,lunch,"noodles,tofu,peanuts,bean sprouts",20,True,low
Green Curry (Veg),Thai,veg,320,10,28,18.0,5,lunch,"vegetables,coconut milk,curry paste",30,True,low
Tom Yum Soup (Veg),Thai,veg,140,6,18,4.0,3,lunch,"vegetables,lemongrass,lime,chili",25,True,low
Spring Rolls Thai,Thai,veg,200,6,28,7.0,3,snack,"vegetables,rice paper",20,True,low
Mango Sticky Rice,Thai,veg,320,4,68,6.0,2,snack,"rice,mango,coconut milk",30,False,low
Papaya Salad,Thai,veg,140,4,22,4.0,6,lunch,"papaya,peanuts,lime,chili",15,True,low
Vegetable Pad See Ew,Thai,veg,360,10,56,10.0,4,lunch,"noodles,vegetables,soy sauce",20,True,low
Thai Basil Tofu,Thai,veg,280,16,24,12.0,3,lunch,"tofu,basil,chili,soy sauce",20,True,low
Pad Thai Chicken,Thai,non-veg,480,28,58,14.0,4,lunch,"noodles,chicken,peanuts,egg",20,True,moderate
Green Curry Chicken,Thai,non-veg,420,32,28,22.0,4,dinner,"chicken,coconut milk,curry paste",35,True,moderate
Massaman Curry Beef,Thai,non-veg,520,34,32,28.0,4,dinner,"beef,coconut milk,peanuts,curry",45,False,moderate
Tom Yum Goong,Thai,non-veg,220,24,18,6.0,3,lunch,"shrimp,lemongrass,lime,mushrooms",25,True,very_low
Larb Gai,Thai,non-veg,280,32,12,12.0,3,lunch,"minced chicken,lime,herbs,chili",20,True,very_low
Pad Krapow Chicken,Thai,non-veg,380,28,32,16.0,3,lunch,"chicken,basil,chili,rice",20,True,low
Red Curry Duck,Thai,non-veg,520,30,28,32.0,3,dinner,"duck,coconut milk,red curry paste",40,False,high
Thai Fish Cakes,Thai,non-veg,260,24,18,10.0,2,snack,"fish,red curry paste,lime leaves",25,True,very_low
Pineapple Fried Rice Shrimp,Thai,non-veg,420,22,62,10.0,3,lunch,"rice,shrimp,pineapple,cashews",25,True,moderate
Beef Satay,Thai,non-veg,360,32,12,22.0,2,snack,"beef,peanut sauce,spices",120,True,low
Drunken Noodles Pork,Thai,non-veg,480,26,56,18.0,4,lunch,"noodles,pork,basil,chili",25,True,moderate
Chicken Satay,Thai,non-veg,340,30,12,20.0,2,snack,"chicken,peanut sauce,spices",120,True,low
Falafel (4 pcs),Middle Eastern,veg,320,14,38,12.0,8,lunch,"chickpeas,herbs,spices",20,True,low
Hummus with Pita,Middle Eastern,veg,280,10,36,10.0,8,snack,"chickpeas,tahini,lemon,pita",10,True,low
Tabbouleh,Middle Eastern,veg,180,5,28,6.0,6,lunch,"bulgur,parsley,tomatoes,lemon",20,True,low
Baba Ganoush,Middle Eastern,veg,200,4,16,14.0,8,snack,"eggplant,tahini,lemon,garlic",40,True,low
Fattoush Salad,Middle Eastern,veg,220,6,28,10.0,6,lunch,"lettuce,tomatoes,pita chips,sumac",15,True,low
Muhammara,Middle Eastern,veg,240,6,22,14.0,4,snack,"red peppers,walnuts,pomegranate",15,True,low
